H|Hydrogen
He|Helium
Li|Lithium
Be|Beryllium
B|Boron
C|Carbon
N|Nitrogen
O|Oxygen
F|Fluorine
Ne|Neon
Na|Sodium (Natrium)
Mg|Magnesium
Al|Aluminum
Si|Silicon
P|Phosphorus
S|Sulfur
Cl|Chlorine
Ar|Argon
K|Potassium (Kalium)
Ca|Calcium
Sc|Scandium
Ti|Titanium
V|Vanadium
Cr|Chromium
Mn|Manganese
Fe|Iron (Ferrum)
Co|Cobalt
Ni|Nickel
Cu|Copper (Cuprum)
Zn|Zinc
Ga|Gallium
Ge|Germanium
As|Arsenic
Se|Selenium
Br|Bromine
Kr|Krypton
Rb|Rubidium
Sr|Strontium
Y|Yttrium
Zr|Zirconium
Nb|Niobium
Mo|Molybdenum
Tc|Technetium
Ru|Ruthenium
Rh|Rhodium
Pd|Palladium
Ag|Silver (Argentum)
Cd|Cadmuim
In|Indium
Sn|Tin (Stannum)
Sb|Antimony (Stibium)
Te|Tellurium
I|Iodine
Xe|Xenon
Cs|Cesium
Ba|Barium
La|Lanthanum
Ce|Cerium
Pr|Praseodymium
Nd|Neodymium
Pm|Promethium
Sm|Samarium
Eu|Europium
Gd|Gadolinium
Tb|Terbium
Dy|Dysprosium
Ho|Holmium
Er|Erbium
Tm|Thulium
Yb|Ytterbium
Lu|Lutetium
Hf|Hafnium
Ta|Tantalum
W|Tungsten (Wolfram)
Re|Rhenium
Os|Osmium
Ir|Iridium
Pt|Platinum
Au|Gold (Aurum)
Hg|Mercury (Hydrargyrum)
Tl|Thallium
Pb|Lead (Plumbum)
Bi|Bismuth
Po|Polonium
At|Astatine
Rn|Radon
Fr|Francium
Ra|Radium
Ac|Actinium
Th|Thorium
Pa|Protactinium
U|Uranium
Np|Neptunium
Pu|Plutonium
Am|Americium
Cm|Curium
Bk|Berkelium
Cf|Californium
Es|Einsteinium
Fm|Femium
Md|Mendelevium
No|Nobelium
Lr|Lawrencium
Rf|Rutherfordium
Db|Dubnium
Sg|Seaborgium
Bh|Bohrium
Hs|Hassium
Mt|Meitnerium
Dy|Darmstadtium
Rg|Roentgenium
Cn|Copernicium
